codigo,nombre,distrito,provincia,departamento,latitud,longitud,altitud_m,banda_altitud,banda_descripcion
34342,SALUD VISUAL OPTICA Y OFTALMOLOGIA,LINCE,LIMA,LIMA,-12.08313431,-77.03482287,122.0,Banda 1,0–2499 m s. n. m.
34555,Centro Diagnóstika,SAN BORJA,LIMA,LIMA,-12.0995482,-76.9949689,161.0,Banda 1,0–2499 m s. n. m.
34870,HOGAR PROTEGIDO YAKU,MOLLENDO,ISLAY,AREQUIPA,-17.0205669,-72.0154066,92.0,Banda 1,0–2499 m s. n. m.
35335,INFINITO DENTAL,CHORRILLOS,LIMA,LIMA,-12.1670418,-77.0250454,46.0,Banda 1,0–2499 m s. n. m.
34706,VITALIS SALUD,ATE,LIMA,LIMA,-12.03126427,-76.92633457,340.0,Banda 1,0–2499 m s. n. m.
34707,CONSULTORIO MEDICO MEDICWIL,ATE,LIMA,LIMA,-12.0738539,-76.9872282,204.0,Banda 1,0–2499 m s. n. m.
34774,MediLeón,LIMA,LIMA,LIMA,-12.118702,-77.034622,86.0,Banda 1,0–2499 m s. n. m.
34831,consultorio dental Clemente Lara Huallcca,ICA,ICA,ICA,-14.0649359,-75.7300735,409.0,Banda 1,0–2499 m s. n. m.
34897,Gamadent,SAN JUAN DE LURIGANCHO,LIMA,LIMA,-11.9747655,-77.0100144,242.0,Banda 1,0–2499 m s. n. m.
34926,FabiDent,SAN JUAN DE LURIGANCHO,LIMA,LIMA,-12.02374581,-77.0017717,207.0,Banda 1,0–2499 m s. n. m.
34698,GAHIA CONSULTORIOS,ICA,ICA,ICA,-14.0742249,-75.72904,407.0,Banda 1,0–2499 m s. n. m.
34826,DIGITAL SMILE,SANTIAGO DE SURCO,LIMA,LIMA,-12.1287172,-76.9965701,113.0,Banda 1,0–2499 m s. n. m.
34816,JG Consultorio Médico,SAN JUAN DE MIRAFLORES,LIMA,LIMA,-12.14101809,-76.96932694,160.0,Banda 1,0–2499 m s. n. m.
34892,ODONTO MUNDI,HUACHO,HUAURA,LIMA,-11.1087008,-77.6089567,37.0,Banda 1,0–2499 m s. n. m.
34931,"CONSULTORIO DENTAL, LAS ESTRELLAS",AYACUCHO,HUAMANGA,AYACUCHO,-13.1592187,-74.2248803,2746.0,Banda 2,2500–3599 m s. n. m.
34896,CONSULTORIO ODONTOLOGICO SANCHEZ VILELA,LOS BAÑOS DEL INCA,CAJAMARCA,CAJAMARCA,-7.1649396,-78.4609854,2665.0,Banda 2,2500–3599 m s. n. m.
34879,CONSULTORIO MEDICO ECOGRAFICO LOPEZ SALUD,VENTANILLA,CALLAO,CALLAO,-11.8734297,-77.1262882,30.0,Banda 1,0–2499 m s. n. m.
35047,MK DENTAL,SANTIAGO DE SURCO,LIMA,LIMA,-12.12763414,-76.99974103,112.0,Banda 1,0–2499 m s. n. m.
35105,CONSULTORIO  MEDICO ANDRE ZAMIRIA,LURIN,LIMA,LIMA,-12.2752444,-76.8699679,12.0,Banda 1,0–2499 m s. n. m.
35411,CONSULTORIO ODONTOLOGICO GALVEZ,LINCE,LIMA,LIMA,-12.07970684,-77.03195728,124.0,Banda 1,0–2499 m s. n. m.
35401,PATOLOGAS AS SAC,LINCE,LIMA,LIMA,-12.08312968,-77.03481249,122.0,Banda 1,0–2499 m s. n. m.
35465,CONSULTORIO MEDICO EPDI,TUMBES,TUMBES,TUMBES,-3.56497293,-80.45627898,8.0,Banda 1,0–2499 m s. n. m.
35373,ZI VITAL,PUEBLO LIBRE,LIMA,LIMA,-12.070793,-77.0504902,112.0,Banda 1,0–2499 m s. n. m.
